"no_of_bug_owned","avg_resolution","scmChanges","scrChanges","mslChanges","number_of_domain","country","linesadded","linesremoved","ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality","upeople_id"
14,0.0714,56,15,19,3,6,13675,3474,14,2,12,12,12,0,0.181818181818182,0.103896103896104,0.0299502978713345,23
3,0,11,0,83,6,6,93,25,0,3,20,20,20,9.65714285714286,0.0631578947368421,0.10958904109589,0.00742285932934092,24
49,8.2653,99,15,7,1,10,36995,36668,15,12,14,14,14,0,0.285714285714286,0.106666666666667,0.0151910050061319,29
43,3.3721,1686,147,129,5,8,261231,209689,130,11,40,40,40,0,0.0512820512820513,0.103896103896104,0.31188538891902,475
38,4.8378,1687,30,108,4,7,468373,351339,30,7,42,42,42,21.3809523809524,0.0464576074332172,0.114285714285714,1,476
65,1.1385,393,0,2,1,9,107543,71870,0,14,10,10,10,0,0.266666666666667,0.10126582278481,0.507099609951688,477
1,0,17,0,0,2,6,6747,1472,0,16,14,14,14,12.0380952380952,0.285714285714286,0.112676056338028,0.0291305116732831,478
2,2,461,4,4,1,9,151771,123433,4,8,20,20,20,0.619047619047619,0.2,0.105263157894737,0.85457288814245,479
17,2.5625,35,7,4,2,7,1678,277,5,9,6,6,6,0,0.133333333333333,0.0987654320987654,0.00015549692671519,480
18,0.2222,25,6,7,3,6,2086,118,2,15,0,0,0,0,0,0.0588235294117647,0.000233409080999405,492
13,45.3333,27,48,179,1,6,6747,336,41,1,18,18,18,13.3428571428571,0.169934640522876,0.112676056338028,0.00526431291740826,494
1,0,10,0,1,3,8,168,93,0,13,0,0,0,0,0,0.0588235294117647,0.000233409080999405,1608
2,7.5,0,0,5,3,7,0,0,0,4,0,0,0,0,0,0.0588235294117647,0.000233409080999405,2223
1,0,0,4,0,4,8,0,0,4,17,0,0,0,0,0,0.0588235294117647,0.000233409080999405,2793
1,0,0,0,0,7,6,0,0,0,5,0,0,0,0,0,0.0588235294117647,0.000233409080999405,3080
542,0.9002,0,0,0,13,0,0,0,0,10,0,0,0,0,0,0.0588235294117647,0.000233409080999405,378243
1,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0.0588235294117647,0.000233409080999405,382566
