"no_of_bug_owned","avg_resolution","scmChanges","scrChanges","mslChanges","number_of_domain","country","linesadded","linesremoved","ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality","upeople_id"
9,0.6667,9,0,40,1,10,760,386,0,9,8,8,8,4,0.214285714285714,0.0477941176470588,0.00175336100377382,93
8,8.875,289,272,125,5,7,89067,807768,249,1,16,16,16,0,0.05,0.0462633451957295,0.00953247005289167,95
38,26.9737,2742,1427,32,3,6,422308,277852,1391,2,12,12,12,0,0.151515151515152,0.0196374622356495,0.986755653504431,96
28,129.7143,382,0,70,6,9,379661,161896,0,7,10,10,10,0,0.222222222222222,0.0459363957597173,0.0163069040504771,709
9,9.7778,1438,701,9,3,9,416099,307218,681,13,18,18,18,2,0.065359477124183,0.0471014492753623,1,1803
0,0,0,0,0,1,10,0,0,0,12,0,0,0,0,0,0.0714285714285714,2.25532992110435e-07,2042
1,0,0,0,0,4,7,0,0,0,3,0,0,0,0,0,0.0714285714285714,2.25532992110435e-07,2152
0,0,0,0,5,4,10,0,0,0,6,0,0,0,0,0,0.0714285714285714,2.25532992110435e-07,2886
3690,58.6054,0,0,0,13,0,0,0,0,5,0,0,0,0,0,0.0714285714285714,2.25532992110435e-07,378243
5,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0.0714285714285714,2.25532992110435e-07,380492
4,0,0,0,0,1,0,0,0,0,11,0,0,0,0,0,0.0714285714285714,2.25532992110435e-07,381327
6,442.5,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0.0714285714285714,2.25532992110435e-07,384444
6,0,0,0,0,1,0,0,0,0,14,0,0,0,0,0,0.0714285714285714,2.25532992110435e-07,406963
1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0.0714285714285714,2.25532992110435e-07,447349
