"no_of_bug_owned","avg_resolution","scmChanges","scrChanges","mslChanges","number_of_domain","country","linesadded","linesremoved","ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality","upeople_id"
0,0,6,5,0,5,7,50,46,4,1,6,6,6,0,0.4,0.111111111111111,0.00101736567412936,95
2,0,478,0,0,5,10,176326,78837,0,5,54,54,54,21.8,0.0545073375262055,0.142857142857143,0.494273509303357,104
0,0,601,49,24,7,8,123156,50888,45,4,38,38,38,37.6,0.105263157894737,0.150943396226415,0.471026927993029,105
0,0,36,12,30,7,7,2358,2175,12,3,46,46,46,8,0.0483091787439614,0.132231404958678,0.106899344675554,106
0,0,38,0,1,2,7,916,866,0,8,22,22,22,43.4,0.12987012987013,0.150943396226415,0.00929665732528826,107
5,0,2197,529,27,4,8,770374,518046,490,9,60,60,60,0,0.0440677966101695,0.123076923076923,1,108
0,0,12,0,4,2,9,442,424,0,6,20,20,20,12,0.157894736842105,0.140350877192982,0.00330190063404826,315
0,0,17,0,0,1,9,1594,625,0,7,14,14,14,0,0.32967032967033,0.0720720720720721,0.010902151503084,316
0,0,178,0,1,1,6,374999,222788,0,2,12,12,12,13,0.181818181818182,0.140350877192982,0.00108483898933326,317
0,0,93,0,0,1,7,14414,5957,0,10,16,16,16,0,0.166666666666667,0.0506329113924051,0.0824412620311114,573
2,0,473,254,2,4,7,242420,100762,226,11,38,38,38,1,0.0682788051209104,0.125,0.47230744782329,576
2,0,118,152,1,4,6,59602,25192,130,15,38,38,38,17.6,0.042674253200569,0.141592920353982,0.0706707556233919,578
4,0,10,22,1,1,7,40510,3184,17,16,16,16,16,8.2,0.25,0.130081300813008,0.0170545910905686,3234
4,0,44,34,0,1,0,18233,10831,24,13,16,16,16,0.6,0.25,0.124031007751938,0.0107684384545403,64569
1,0,0,0,0,2,0,0,0,0,17,0,0,0,0,0,0.0588235294117647,8.96806946339242e-08,177607
3,0,0,0,0,13,0,0,0,0,12,0,0,0,0,0,0.0588235294117647,8.96806946339242e-08,378243
0,0,0,0,0,1,0,0,0,0,14,0,0,0,0,0,0.0588235294117647,8.96806946339242e-08,415362
