"no_of_review_by_the_author_got_merged","AVG_Merge_Time","scmChanges","scrChanges","mslChanges","number_of_domain","country","linesadded","linesremoved","ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality","upeople_id"
0,0,0,0,187,3,6,0,0,0,22,0,0,0,0,0,0.00657894736842105,0.00862991040658986,23
0,0,3589,0,207,5,9,233195,150061,0,31,0,0,0,0,0,0.00657894736842105,0.00862991040658986,179
0,0,1892,0,301,3,6,426640,256693,0,32,0,0,0,0,0,0.00657894736842105,0.00862991040658986,182
0,0,274,0,230,4,10,19753,9912,0,29,0,0,0,0,0,0.00657894736842105,0.00862991040658986,185
0,0,25,0,365,2,10,729,499,0,24,0,0,0,0,0,0.00657894736842105,0.00862991040658986,189
0,0,2041,0,549,5,8,82331,54075,0,27,0,0,0,0,0,0.00657894736842105,0.00862991040658986,193
2,0,3884,33,469,3,7,405467,276335,20,21,0,0,0,0,0,0.00657894736842105,0.00862991040658986,197
0,0,32,8,3,4,9,690,141,6,147,0,0,0,0,0,0.00657894736842105,0.00862991040658986,200
0,0,788,0,567,4,10,215742,106761,0,33,0,0,0,0,0,0.00657894736842105,0.00862991040658986,234
0,0,366,0,22,4,6,27825,20467,0,65,0,0,0,0,0,0.00657894736842105,0.00862991040658986,245
0,0,2048,0,20,5,9,196815,122835,0,75,0,0,0,0,0,0.00657894736842105,0.00862991040658986,247
0,0,319,0,169,3,6,57947,19296,0,36,0,0,0,0,0,0.00657894736842105,0.00862991040658986,249
0,0,1129,0,25,4,10,112567,61271,0,57,0,0,0,0,0,0.00657894736842105,0.00862991040658986,251
0,0,105,0,26,4,7,6375,1882,0,113,0,0,0,0,0,0.00657894736842105,0.00862991040658986,252
0,0,297,0,30,2,7,56232,21741,0,12,0,0,0,0,0,0.00657894736842105,0.00862991040658986,253
0,0,1,0,0,2,10,11,3,0,48,0,0,0,0,0,0.00657894736842105,0.00862991040658986,254
0,0,1,0,0,1,7,136,13,0,64,0,0,0,0,0,0.00657894736842105,0.00862991040658986,257
20,0,22,25,16,2,9,5763,645,25,13,6,6,6,0,0.4,0.00712230555162492,0.0542081884351664,258
0,0,3,9,29,7,9,114,15,4,9,0,0,0,0,0,0.00657894736842105,0.00862991040658986,259
0,0,3,1,0,4,7,421,37,1,3,0,0,0,0,0,0.00657894736842105,0.00862991040658986,261
103,0,929,181,64,6,8,120047,32451,103,6,16,16,16,47,0.15,0.00714522311077462,0.467132714195628,262
0,0,1,0,0,2,8,198,1,0,135,0,0,0,0,0,0.00657894736842105,0.00862991040658986,266
0,0,1,0,11,1,10,1,0,0,96,0,0,0,0,0,0.00657894736842105,0.00862991040658986,268
0,0,114,4,2,2,7,14293,2993,4,115,0,0,0,0,0,0.00657894736842105,0.00862991040658986,269
0,0,1,3,2,2,6,21,3,0,87,0,0,0,0,0,0.00657894736842105,0.00862991040658986,272
