"no_of_review_by_the_author_got_merged","AVG_Merge_Time","scmChanges","scrChanges","mslChanges","number_of_domain","country","linesadded","linesremoved","ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality","upeople_id"
0,0,9,0,40,1,10,760,386,0,9,0,0,0,0,0,0.0714285714285714,0.00130182188238494,93
146,0,289,272,125,5,7,89067,807768,249,1,4,4,4,1,0.333333333333333,0.0426229508196721,0.0766915101983973,95
1325,0,2742,1427,32,3,6,422308,277852,1391,2,4,4,4,0,0.333333333333333,0.0291479820627803,1,96
0,0,382,0,70,6,9,379661,161896,0,7,0,0,0,0,0,0.0714285714285714,0.00130182188238494,709
667,0,1438,701,9,3,9,416099,307218,681,13,4,4,4,0,0.333333333333333,0.0412698412698413,0.996915710775178,1803
0,0,0,0,0,1,10,0,0,0,12,0,0,0,0,0,0.0714285714285714,0.00130182188238494,2042
0,0,0,0,0,4,7,0,0,0,3,0,0,0,0,0,0.0714285714285714,0.00130182188238494,2152
0,0,0,0,5,4,10,0,0,0,6,0,0,0,0,0,0.0714285714285714,0.00130182188238494,2886
0,0,0,0,0,13,0,0,0,0,5,0,0,0,0,0,0.0714285714285714,0.00130182188238494,378243
0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0.0714285714285714,0.00130182188238494,380492
0,0,0,0,0,1,0,0,0,0,11,0,0,0,0,0,0.0714285714285714,0.00130182188238494,381327
0,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0.0714285714285714,0.00130182188238494,384444
0,0,0,0,0,1,0,0,0,0,14,0,0,0,0,0,0.0714285714285714,0.00130182188238494,406963
0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0.0714285714285714,0.00130182188238494,447349
