"no_of_review_by_the_author_got_merged","AVG_Merge_Time","scmChanges","scrChanges","mslChanges","number_of_domain","country","linesadded","linesremoved","ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality","upeople_id"
2,0,18,2,0,4,9,784,100,2,8,2,2,2,0,0,0.0384615384615385,0.999999570274093,200
0,0,0,0,3,3,6,0,0,0,13,0,0,0,0,0,0.037037037037037,0.499999805467014,249
3,0,4,18,0,3,6,60,59,6,1,0,0,0,0,0,0.037037037037037,0.499999805467014,286
0,0,0,2,0,5,8,0,0,0,7,0,0,0,0,0,0.037037037037037,0.499999805467014,587
0,0,0,0,0,4,9,0,0,0,10,0,0,0,0,0,0.037037037037037,0.499999805467014,664
0,0,0,0,6,4,9,0,0,0,9,0,0,0,0,0,0.037037037037037,0.499999805467014,668
0,0,3,0,26,13,8,78,29,0,6,0,0,0,0,0,0.037037037037037,0.499999805467014,670
2,0,61,2,14,4,10,6127,1548,2,27,0,0,0,0,0,0.037037037037037,0.499999805467014,771
0,0,0,0,0,4,6,0,0,0,15,0,0,0,0,0,0.037037037037037,0.499999805467014,1439
0,0,0,0,6,3,6,0,0,0,17,0,0,0,0,0,0.037037037037037,0.499999805467014,1448
0,0,0,0,0,4,9,0,0,0,18,0,0,0,0,0,0.037037037037037,0.499999805467014,1645
0,0,102,0,2,3,6,3172,760,0,26,0,0,0,0,0,0.037037037037037,0.499999805467014,1972
0,0,0,0,0,2,8,0,0,0,19,0,0,0,0,0,0.037037037037037,0.499999805467014,2394
0,0,0,0,0,2,9,0,0,0,11,0,0,0,0,0,0.037037037037037,0.499999805467014,2396
11,0,6,18,0,4,9,896,7,12,2,2,2,2,0,0,0.0384615384615385,1,3237
0,0,0,0,0,13,0,0,0,0,4,0,0,0,0,0,0.037037037037037,0.499999805467014,378243
0,0,0,0,2,2,0,0,0,0,16,0,0,0,0,0,0.037037037037037,0.499999805467014,379589
0,0,0,0,3,2,0,0,0,0,14,0,0,0,0,0,0.037037037037037,0.499999805467014,379635
0,0,0,0,36,6,0,0,0,0,5,0,0,0,0,0,0.037037037037037,0.499999805467014,379690
0,0,0,0,0,2,0,0,0,0,25,0,0,0,0,0,0.037037037037037,0.499999805467014,381084
0,0,0,0,0,2,0,0,0,0,20,0,0,0,0,0,0.037037037037037,0.499999805467014,381162
0,0,0,0,0,3,0,0,0,0,21,0,0,0,0,0,0.037037037037037,0.499999805467014,391200
0,0,0,0,0,2,0,0,0,0,24,0,0,0,0,0,0.037037037037037,0.499999805467014,410752
0,0,0,0,0,2,0,0,0,0,23,0,0,0,0,0,0.037037037037037,0.499999805467014,416115
0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0.037037037037037,0.499999805467014,432608
0,0,0,0,0,1,0,0,0,0,12,0,0,0,0,0,0.037037037037037,0.499999805467014,441310
0,0,0,0,0,1,0,0,0,0,22,0,0,0,0,0,0.037037037037037,0.499999805467014,444603
