"no_of_review_by_the_author_got_merged","AVG_Merge_Time","scmChanges","scrChanges","mslChanges","number_of_domain","country","linesadded","linesremoved","ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality","upeople_id"
1,0,523,177,6,2,6,943639,133511,16,1,4,4,4,2,0.333333333333333,0.09375,0.550462794682379,400
5,0,434,16,3,4,7,2070919,355729,13,8,0,0,0,0,0,0.0769230769230769,0.109503763984861,401
5,0,1151,38,7,3,8,343997,415749,31,5,4,4,4,0,0.333333333333333,0.0869565217391304,1,403
2,0,265,2,19,4,7,34998,20528,2,4,2,2,2,0,0,0.0909090909090909,0.139448108368387,406
0,0,245,0,0,1,9,172642,132310,0,10,0,0,0,0,0,0.0769230769230769,0.109503763984861,564
0,0,1912,0,0,3,6,208456,170711,0,7,0,0,0,0,0,0.0769230769230769,0.109503763984861,565
0,0,405,0,1,2,6,173633,42068,0,13,0,0,0,0,0,0.0769230769230769,0.109503763984861,567
3,0,73,13,1,4,7,7597,48622,11,12,6,6,6,2,0.133333333333333,0.09375,0.922082801951484,568
0,0,206,2,0,2,9,290298,91689,0,3,0,0,0,0,0,0.0769230769230769,0.109503763984861,934
0,0,351,0,0,1,6,119568,109158,0,11,0,0,0,0,0,0.0769230769230769,0.109503763984861,1466
0,0,0,0,0,13,0,0,0,0,2,0,0,0,0,0,0.0769230769230769,0.109503763984861,378243
0,0,0,0,2,1,0,0,0,0,6,0,0,0,0,0,0.0769230769230769,0.109503763984861,384502
0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0.0769230769230769,0.109503763984861,384503
