"no_of_review_by_the_author_got_merged","AVG_Merge_Time","scmChanges","scrChanges","mslChanges","number_of_domain","country","linesadded","linesremoved","ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality","upeople_id"
3,0,21,44,2,3,10,1018,446,37,38,2,2,2,0,0,0.0221318879855465,1.34180302097104e-06,13
0,0,44,0,51,6,9,35073,12982,0,17,0,0,0,0,0,0.02,6.70910231850277e-07,282
0,0,2,0,2,4,8,88,4,0,6,0,0,0,0,0,0.02,6.70910231850277e-07,322
0,0,1228,0,0,1,9,107263,73561,0,3,0,0,0,0,0,0.02,6.70910231850277e-07,410
19,0,1771,59,657,4,6,399063,486299,46,5,6,6,6,13,0,0.02234382124943,4.06636097035356e-06,411
0,0,1409,0,52,2,7,56951,24682,0,10,0,0,0,0,0,0.02,6.70910231850277e-07,412
0,0,154,0,15,3,10,65012,193140,0,8,0,0,0,0,0,0.02,6.70910231850277e-07,413
2,0,1206,2,54,3,7,153592,73809,2,28,0,0,0,0,0,0.02,6.70910231850277e-07,414
0,0,404,0,67,3,6,47846,28765,0,1,0,0,0,0,0,0.02,6.70910231850277e-07,415
18,0,1201,19,170,3,10,276939,240464,18,24,4,4,4,7,0,0.0219435736677116,2.94379906948814e-06,418
0,0,80,0,1,2,10,1596,556,0,22,0,0,0,0,0,0.02,6.70910231850277e-07,425
19,0,575,54,7,2,7,46392,31982,34,16,6,6,6,19,0,0.0226537216828479,4.21778314938762e-06,430
0,0,1892,1,43,1,10,470329,362434,0,11,0,0,0,0,0,0.02,6.70910231850277e-07,431
48,0,819,168,149,2,9,87886,91772,156,15,8,8,8,11,0.214285714285714,0.0223132969034608,0.0633481632398872,432
0,0,207,0,0,1,8,9519,7642,0,27,0,0,0,0,0,0.02,6.70910231850277e-07,434
69,0,461,105,26,5,10,82647,37035,81,23,8,8,8,5,0.142857142857143,0.0220422852001799,1,435
0,0,9,0,4,2,6,2308,348,0,20,0,0,0,0,0,0.02,6.70910231850277e-07,439
0,0,379,0,2,3,7,30326,15254,0,32,0,0,0,0,0,0.02,6.70910231850277e-07,442
3,0,551,3,14,1,10,96601,66204,3,7,2,2,2,0,0,0.0220621341737956,0.000910648138343268,443
3,0,12,4,22,3,8,77,41,4,14,2,2,2,0,0,0.0219435736677116,0.00584616875650045,445
45,0,13,74,0,1,6,2796,664,53,35,4,4,4,0,0.333333333333333,0.0219632451815329,0.994930257316665,446
37,0,1,52,0,5,9,2,18,37,4,6,6,6,17,0,0.0226014760147601,4.12800162003056e-06,610
14,0,114,17,2,3,6,15679,5473,14,2,2,2,2,0,0,0.0223132969034608,1.36156620188356e-06,671
0,0,0,0,0,3,8,0,0,0,19,0,0,0,0,0,0.02,6.70910231850277e-07,1781
0,0,53,0,17,2,7,741,293,0,13,0,0,0,0,0,0.02,6.70910231850277e-07,1836
10,0,650,10,55,1,9,120888,23130,10,21,4,4,4,8,0.333333333333333,0.0222727272727273,0.00134933944556763,1838
0,0,12,0,29,7,8,3178,304,0,18,0,0,0,0,0,0.02,6.70910231850277e-07,1841
0,0,18,0,0,2,9,18130,10996,0,26,0,0,0,0,0,0.02,6.70910231850277e-07,1847
0,0,12,0,0,1,9,167,43,0,29,0,0,0,0,0,0.02,6.70910231850277e-07,1850
0,0,2,0,0,1,8,2,18,0,30,0,0,0,0,0,0.02,6.70910231850277e-07,1851
0,0,4,0,1,1,10,6,4,0,31,0,0,0,0,0,0.02,6.70910231850277e-07,1852
0,0,1,0,0,1,8,1079,971,0,33,0,0,0,0,0,0.02,6.70910231850277e-07,1855
0,0,10,0,0,1,10,444,158,0,36,0,0,0,0,0,0.02,6.70910231850277e-07,1859
0,0,5,0,0,1,10,5545,1239,0,34,0,0,0,0,0,0.02,6.70910231850277e-07,3248
30,0,60,104,2,5,6,11208,2481,80,37,8,8,8,5,0.142857142857143,0.0222121486854034,0.103721698097556,3260
17,0,7,39,0,3,0,1491,2971,17,40,2,2,2,0,0,0.0219435736677116,1.4843332229576e-06,340390
0,0,0,0,0,13,0,0,0,0,9,0,0,0,0,0,0.02,6.70910231850277e-07,378243
0,0,0,0,7,3,0,0,0,0,12,0,0,0,0,0,0.02,6.70910231850277e-07,378997
19,0,0,32,1,2,0,0,0,32,39,2,2,2,0,0,0.0207100591715976,1.51973697677499e-06,390720
0,0,0,0,0,1,0,0,0,0,25,0,0,0,0,0,0.02,6.70910231850277e-07,397248
0,0,0,0,1,1,0,0,0,0,49,0,0,0,0,0,0.02,6.70910231850277e-07,397291
1,0,0,1,0,1,0,0,0,1,43,0,0,0,0,0,0.02,6.70910231850277e-07,418241
0,0,0,3,0,1,0,0,0,0,41,2,2,2,0,0,0.0222727272727273,1.29793507814254e-06,446592
1,0,2,2,0,1,0,2,0,1,45,0,0,0,0,0,0.02,6.70910231850277e-07,456034
0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0.02,6.70910231850277e-07,456085
2,0,0,2,0,0,0,0,0,2,44,0,0,0,0,0,0.02,6.70910231850277e-07,456086
1,0,0,2,0,0,0,0,0,1,46,0,0,0,0,0,0.02,6.70910231850277e-07,456087
0,0,0,4,0,0,0,0,0,0,47,0,0,0,0,0,0.02,6.70910231850277e-07,456088
0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0.02,6.70910231850277e-07,456133
0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0.02,6.70910231850277e-07,456198
