"upeople_id","no_of_bug_owned","avg_resolution","X290scmChanges","X392scrChanges","X1mslChanges","number_of_domain","country","X290linesadded","X290linesremoved","X392ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
554,1,0,41,192,2,4,10,5520,4335,117,3,14,14,14,0,0.395604395604396,0.0797546012269939,0.234072602185744
880,19,3.0556,249,2012,15,4,8,185349,197247,1818,4,14,14,14,0,0.395604395604396,0.0513833992094862,0.995064837301505
2057,15,10.0667,251,1409,2,4,9,613388,576574,1309,10,14,14,14,0,0.395604395604396,0.0513833992094862,1
2635,1,0,24,127,0,1,9,820,813,122,1,10,10,10,6,0.444444444444444,0.0838709677419355,0.0250595840737843
2636,0,0,3,4,0,1,9,797,76,4,7,10,10,10,18,0.444444444444444,0.0896551724137931,0.0034471907870109
2639,14,9.0714,71,612,0,6,8,4219,5024,512,9,12,12,12,0,0.424242424242424,0.0604651162790698,0.163545407477045
3278,0,0,4,104,22,3,6,2008,386,91,8,0,0,0,0,0,0.0714285714285714,0.0119769154967476
298235,1,0,30,250,0,2,0,2233,644,200,12,12,12,12,0,0.424242424242424,0.0860927152317881,0.0895417634029187
298236,0,0,11,63,0,2,0,512,320,63,11,14,14,14,10,0.395604395604396,0.0860927152317881,0.0538738375317206
378243,47,15.6857,0,0,0,13,0,0,0,0,5,0,0,0,0,0,0.0714285714285714,0.0119769154967476
385514,2,13.5,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0.0714285714285714,0.0119769154967476
434498,1,35,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0.0714285714285714,0.0119769154967476
443624,0,0,0,83,0,1,0,0,0,71,14,0,0,0,0,0,0.0714285714285714,0.0119769154967476
446720,2,2.5,0,1543,0,0,0,0,0,1398,2,0,0,0,0,0,0.0714285714285714,0.0119769154967476
