"upeople_id","20scmChanges","412scrChanges","1mslChanges","number_of_domain","country","20linesadded","20linesremoved","412ReviewGotMerged"
179,3578,0,107,5,9,233158,149995,0
182,1868,0,72,3,6,426338,256295,0
185,192,0,13,4,10,16058,8292,0
189,0,0,0,2,10,0,0,0
197,3599,24,79,3,7,379851,252471,14
247,2048,0,5,5,9,196815,122835,0
251,1129,0,3,4,10,112567,61271,0
252,105,0,11,4,7,6375,1882,0
253,297,0,6,2,7,56232,21741,0
254,1,0,0,2,10,11,3,0
259,3,7,3,7,9,114,15,4
261,2,0,0,4,7,295,15,0
262,13,0,0,6,8,3226,225,0
266,1,0,0,2,8,198,1,0
269,110,4,0,2,7,14231,2962,4
272,1,3,0,2,6,21,3,0
273,1,0,1,7,9,12,0,0
274,2,0,0,1,6,882,51,0
276,5,24,0,5,8,149,63,11
278,1,0,0,2,9,64,2,0
282,1,0,0,6,9,54,3,0
285,10,0,0,1,10,729,33,0
286,3,20,0,3,6,155,55,3
288,5,0,0,1,8,2582,348,0
289,1,0,0,1,9,16,0,0
291,1,0,0,3,10,24,10,0
292,1,0,0,2,8,43,6,0
319,0,0,5,2,7,0,0,0
393,0,0,0,3,10,0,0,0
415,0,0,0,3,6,0,0,0
443,0,0,0,1,10,0,0,0
610,0,0,0,5,9,0,0,0
665,0,0,0,3,8,0,0,0
693,0,0,0,2,8,0,0,0
756,0,0,0,3,6,0,0,0
760,0,0,1,1,6,0,0,0
829,0,0,0,1,7,0,0,0
906,0,3,0,4,8,0,0,0
911,0,18,0,2,7,0,0,0
1448,0,0,0,3,6,0,0,0
1951,0,0,13,2,7,0,0,0
2394,0,0,0,2,8,0,0,0
3014,0,0,2,3,8,0,0,0
3045,0,0,0,4,9,0,0,0
3055,0,2,0,2,8,0,0,0
3261,2,0,3,2,7,895,29,0
3262,3,0,0,4,6,480,302,0
3263,2,0,0,3,6,205,3,0
3270,1,0,0,2,10,208,24,0
378243,0,0,0,13,0,0,0,0
379589,0,0,0,2,0,0,0,0
379597,0,0,2,1,0,0,0,0
379607,0,0,0,2,0,0,0,0
379637,0,0,41,3,0,0,0,0
379706,0,0,0,1,0,0,0,0
379870,0,0,1,4,0,0,0,0
379890,0,0,0,2,0,0,0,0
380479,0,0,0,1,0,0,0,0
380730,0,0,0,1,0,0,0,0
381323,0,0,0,2,0,0,0,0
382818,0,8,0,2,0,0,0,0
383224,0,0,0,2,0,0,0,0
383645,0,0,0,2,0,0,0,0
384098,0,0,0,1,0,0,0,0
384279,0,0,4,1,0,0,0,0
387054,0,0,0,2,0,0,0,0
388019,0,0,0,1,0,0,0,0
388687,0,0,0,2,0,0,0,0
391542,0,0,26,4,0,0,0,0
398354,0,0,0,2,0,0,0,0
401016,0,0,0,2,0,0,0,0
401620,0,0,0,1,0,0,0,0
401938,0,0,0,2,0,0,0,0
403622,0,0,0,1,0,0,0,0
431690,0,0,2,2,0,0,0,0
432589,0,0,0,1,0,0,0,0
432608,0,0,0,1,0,0,0,0
432683,0,0,0,1,0,0,0,0
432694,0,0,0,1,0,0,0,0
432797,0,0,0,0,0,0,0,0
433031,0,0,0,0,0,0,0,0
433641,0,0,0,0,0,0,0,0
434223,0,0,0,0,0,0,0,0
434791,0,0,0,0,0,0,0,0
445339,0,0,0,0,0,0,0,0
445371,0,0,0,0,0,0,0,0
446844,0,0,0,0,0,0,0,0
447330,0,0,0,0,0,0,0,0
447606,0,0,0,0,0,0,0,0
